Edad,Altura,Peso,estado_fisico,salud,alimentacion,fruta_consumo,verdura_consumo,genero,actividad_fisica,dias_entreno,horas_entreno,entreno_constante,enfoque,areas__Abdomen,areas__Brazo,areas__Cardio,areas__Espalda,areas__Pecho,areas__Pierna,efectividad,consumo__Creatina,consumo__Nada,consumo__Otro,consumo__Pre-Entreno,consumo_proteina,horas_dormir,fuente_energia1,fuente_energia2,agua,motivo__Aumentodemasamuscular,motivo__Definicion_muscular,motivo__Perdida_Peso,motivo__Salud,disponibilidad_tiempo,experiencia_fuerza,experiencia_cardio,acceso,preferencia_area,intensidad,IMC,grasa_corporal,grasa_corporal_magra
22,1.59,145.0,7.0,9.0,3.0,4.0,4.0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,26.07,30.94,48.73
22,1.84,205.0,7.0,9.0,3.0,2.0,3.0,1,1,0,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,27.52,21.88,67.54
20,1.7,122.0,1.0,7.0,4.0,2.0,2.0,1,1,0,2,0,1,1.0,1.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,2,0,2,2,1,1,0,0,1,0,0,0,2,1,19.19,11.43,44.81
25,1.63,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,1,1,1,0,1,0,1,0,3,0,20.53,24.99,43.35
18,1.71,110.0,4.0,6.0,3.0,3.0,4.0,1,1,1,2,0,1,1.0,1.0,0.0,1.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,2,0,0,2,1,0,0,0,1,1,1,0,4,0,17.1,8.46,41.45
21,1.75,133.0,8.0,5.0,3.0,4.0,3.0,0,1,0,1,2,1,1.0,1.0,0.0,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,1.0,2,1,1,3,1,1,0,1,0,0,1,0,0,1,19.74,23.12,48.52
22,1.75,163.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,2,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,1,0,0,1,1,1,1,0,0,24.19,17.89,56.17
22,1.8,170.0,4.0,4.0,3.0,3.0,2.0,1,1,0,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,0,1.0,0.0,0.0,0.0,1.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,23.85,17.48,58.84
22,1.53,114.0,8.0,9.0,3.0,3.0,3.0,0,0,0,2,2,1,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,1,0,0,0,4,0,22.14,26.23,40.35
21,1.6,170.0,5.0,7.0,4.0,4.0,4.0,0,1,2,3,3,0,0.0,1.0,1.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,0,1,1,2,0,0,0,0,2,30.18,35.65,53.95
24,1.6,165.0,5.0,7.0,3.0,3.0,5.0,0,1,0,1,0,1,1.0,1.0,1.0,0.0,1.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,29.3,35.28,53.02
22,1.6,105.0,6.0,7.0,4.0,5.0,5.0,0,0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,3,0,0,1,0,1,0,0,1,3,2,18.64,22.03,38.83
